color_name,red,green,blue
adobe,166,103,76
algae,90,120,72
amber,140,77,37
apple_green,125,160,77
apricot,221,151,111
aqua,75,203,194
aqua_blue,26,167,202
aqua_green,12,212,184
aquamarine,71,199,187
army_green,98,116,62
aubergine,74,30,76
avocado,129,150,50
avocado_green,96,117,62
azure,31,161,210
azure_blue,103,122,208
baby_blue,114,180,221
baby_pink,238,165,208
barbie_pink,212,115,182
barney_purple,140,67,152
beige,196,175,139
berry,114,28,84
black,30,25,28
blood_red,113,33,37
blue,66,110,182
blue_black,34,24,38
blue_gray,112,133,159
blue_green,47,146,138
blue_pink,209,129,199
blue_purple,100,54,173
blue_violet,99,76,181
blueish_gray,162,174,205
bluish,128,93,173
bluish_gray,140,152,172
bluish_green,71,155,123
bluish_purple,119,75,205
bluish_white,198,218,230
blush,212,146,165
blush_pink,216,175,162
brick,148,81,72
brick_red,132,44,43
bright_aqua,95,239,184
bright_blue,71,148,222
bright_cyan,80,212,205
bright_fuchsia,231,39,184
bright_green,102,216,76
bright_lavender,172,122,244
bright_light_green,126,229,152
bright_lilac,184,98,235
bright_lime,97,227,75
bright_magenta,231,50,228
bright_mint,28,242,184
bright_orange,232,127,44
bright_peach,246,95,126
bright_pink,231,75,178
bright_purple,157,64,195
bright_red,238,43,46
bright_rose,231,71,109
bright_salmon,235,86,102
bright_sea_green,129,252,198
bright_seafoam_green,122,218,194
bright_sky_blue,96,218,224
bright_teal,52,165,151
bright_turquoise,38,195,187
bright_violet,126,64,196
bright_white,230,228,236
bright_yellow,227,217,43
bright_yellow_green,138,206,103
bronze,146,108,65
brown,111,70,42
brown_green,104,92,20
brown_red,136,71,60
brown_yellow,116,95,20
brownish_gray,106,94,93
brownish_green,106,80,26
brownish_orange,169,86,39
brownish_purple,77,35,44
bubble_gum,233,137,155
bubble_gum_pink,241,135,204
buff,150,136,100
burgundy,96,23,49
burnt_amber,102,41,12
burnt_orange,171,90,42
burnt_red,64,2,12
burnt_sienna,140,72,37
burnt_yellow,212,150,52
butter_yellow,232,221,111
butterscotch,224,176,82
cadet_blue,84,102,131
camel,213,179,120
camo_green,99,116,39
canary,238,185,56
caramel,153,97,42
carnation_pink,227,103,141
carolina_blue,106,151,204
caution_yellow,218,168,32
celadon_green,152,185,138
cerise,155,52,84
cerulean,64,121,169
cerulean_blue,30,128,190
charcoal,44,45,52
charcoal_gray,66,74,88
chartreuse,165,192,68
cherry_red,178,29,67
chestnut_brown,98,63,33
chocolate,86,43,38
chocolate_brown,66,30,22
clay,166,114,90
cobalt,47,77,141
cobalt_blue,40,66,153
coffee,115,84,67
cool_gray,131,134,154
cool_pink,218,108,196
copper,170,92,56
coral,225,101,98
coral_pink,224,116,129
cornflower,110,127,198
cranberry,118,41,56
cream,230,214,177
crimson,135,36,62
cyan,79,202,204
dandelion,242,214,84
dark_beige,148,134,100
dark_blue,36,44,103
dark_blue_gray,74,88,97
dark_blue_green,33,83,81
dark_bluish_green,29,93,73
dark_brown,63,35,20
dark_cyan,54,145,151
dark_dusty_rose,170,104,108
dark_fuchsia,148,23,96
dark_gray,73,71,76
dark_gray_blue,62,82,131
dark_green,38,73,48
dark_green_khaki,70,60,1
dark_greenish_blue,1,56,56
dark_lavender,113,82,144
dark_lilac,132,84,162
dark_magenta,142,42,113
dark_maroon,70,22,40
dark_mauve,134,86,114
dark_navy_blue,15,25,65
dark_olive,71,76,41
dark_olive_green,57,64,21
dark_orange,175,87,52
dark_peach,231,92,104
dark_periwinkle,89,96,210
dark_pink,177,73,123
dark_plum,73,16,67
dark_purple,70,29,77
dark_red,101,26,31
dark_rose,160,73,100
dark_salmon,191,98,93
dark_sea_green,90,164,114
dark_sky_blue,34,152,195
dark_tan,132,101,63
dark_teal,23,71,75
dark_turquoise,30,107,114
dark_violet,86,45,101
dark_yellow,182,151,33
dark_yellow_green,101,118,24
darker_lilac,154,86,204
deep_blue,32,15,107
deep_grape,103,43,135
deep_green,33,72,29
deep_magenta,96,16,57
deep_orange,206,100,22
deep_pink,179,80,135
deep_purple,69,22,78
deep_red,113,25,27
deep_rose,177,80,119
deep_teal,10,55,57
deep_violet,84,14,107
denim,61,103,159
denim_blue,66,85,119
dirt,121,110,44
dirty_brown,118,92,57
dove_gray,202,180,210
dull_green,99,120,78
dull_orange,200,152,116
dull_pink,204,132,171
dull_purple,107,74,108
dull_red,182,74,71
dull_yellow,167,166,65
dusk_blue,53,84,132
dusky_purple,118,87,112
dusty_blue,110,138,169
dusty_lavender,132,108,136
dusty_pink,183,119,143
dusty_purple,98,71,98
dusty_rose,173,103,115
dusty_teal,76,117,122
earth,115,70,42
ecru,217,206,174
eggplant,76,34,78
eggshell,220,207,218
eggshell_blue,124,202,192
eggshell_white,250,221,230
electric_blue,78,132,239
electric_green,40,200,99
electric_purple,142,50,218
emerald,36,115,81
emerald_green,45,96,66
espresso,65,45,44
evergreen,39,90,52
faded_purple,106,72,105
flesh,218,171,156
fluorescent_green,139,240,97
fluorescent_orange,234,86,19
fluorescent_pink,227,42,152
forest_green,40,87,49
fuchsia,193,49,162
gold,201,168,52
golden_brown,133,87,0
golden_orange,233,160,29
golden_rod,223,176,49
golden_yellow,201,165,26
grape,99,46,119
grass,156,202,114
grass_green,88,168,57
gray,137,137,143
gray_blue,109,136,156
gray_brown,156,137,121
