color_name,red,green,blue
acid_green,126,203,72
acid_yellow,214,224,88
almost_sky_blue,122,142,229
amber,168,109,39
anthracite,41,42,47
apple_green,147,209,109
apricot,244,157,112
aqua,86,199,191
aqua_blue,108,193,197
aqua_green,65,167,122
aquamarine,62,163,155
army_green,94,109,57
ash_blue,128,151,174
aubergine,87,36,78
azure,31,143,167
baby_blue,107,179,209
baby_pink,227,152,189
barbie_pink,227,88,170
beige,196,173,132
berry,146,42,107
black,27,25,27
blood_red,142,35,48
blue,69,119,186
blue_black,15,52,74
blue_green,64,139,143
blue_grey,94,106,132
blue_lilac,129,121,200
blue_purple,81,78,186
blue_violet,94,73,204
blue_white,203,236,233
bluish,164,172,216
bluish_green,49,189,157
bluish_grey,104,114,145
bluish_pink,222,151,213
bluish_purple,114,92,197
bluish_red,168,12,76
bluish_white,209,226,239
blush,194,126,132
blush_pink,214,138,142
bordeaux,100,16,49
bottle_green,20,69,52
brick,162,87,56
brick_red,160,50,44
bright_blue,54,159,222
bright_brown,164,64,34
bright_cyan,60,238,220
bright_green,95,211,84
bright_lilac,188,95,220
bright_magenta,223,39,179
bright_orange,226,120,48
bright_pink,228,64,168
bright_purple,151,54,197
bright_red,222,28,54
bright_salmon,236,108,110
bright_turquoise,53,221,195
bright_violet,165,93,209
bright_yellow,238,214,70
british_racing_green,34,53,34
bronze,194,136,61
brown,112,70,43
brown_red,99,32,40
brownish_orange,191,118,45
brownish_red,111,38,40
bubble_gum_pink,235,134,194
buff,220,182,134
burgundy,98,25,47
burgundy_red,105,26,52
burnt_orange,174,92,32
burnt_red,124,45,41
burnt_sienna,104,62,18
burnt_umber,124,60,28
buttercup_yellow,252,192,28
cadmium_orange,185,74,37
cadmium_yellow,220,184,20
canary_yellow,230,200,48
candy_pink,226,131,200
candyfloss_pink,196,128,164
cerise,186,41,133
charcoal,43,48,50
charcoal_grey,59,60,68
chartreuse,153,205,90
cherry,148,28,78
cherry_red,140,30,56
chestnut,120,39,28
chocolate,92,60,61
chocolate_brown,102,56,38
chrome_yellow,220,186,54
claret,101,10,44
clay,170,118,64
cobalt,64,83,186
cobalt_blue,56,107,189
coffee,160,113,63
cool,108,152,252
cool_green,103,178,120
cool_violet,90,62,120
coral,230,101,103
coral_red,237,82,81
cornflower_blue,108,122,244
cream,229,212,175
creamy_pink,206,142,170
creamy_yellow,237,218,136
crimson,166,35,84
custard,230,198,124
cyan,68,206,210
damson,97,35,56
dark_aqua,48,152,122
dark_blue,33,46,101
dark_blue_green,30,89,94
dark_blue_grey,30,57,86
dark_bluish_green,42,121,114
dark_brown,65,34,23
dark_cyan,26,97,116
dark_emerald_green,12,57,38
dark_forest_green,31,65,47
dark_green,34,73,47
dark_grey,56,63,69
dark_grey_blue,59,71,105
dark_grey_green,50,92,93
dark_indigo,100,62,161
dark_khaki,93,91,59
dark_lavender,111,71,158
dark_lilac,128,101,152
dark_magenta,155,31,107
dark_maroon,76,15,38
dark_mauve,79,51,73
dark_mint,106,167,139
dark_mustard,130,89,21
dark_navy_blue,36,4,90
dark_ochre,129,108,50
dark_olive,80,73,18
dark_orange,187,95,45
dark_pastel_blue,102,118,190
dark_peach,198,121,60
dark_pine_green,14,30,33
dark_pink,171,63,115
dark_plum,72,38,56
dark_purple,74,23,86
dark_red,107,23,33
dark_reddish_brown,88,26,33
dark_rose,159,15,61
dark_sky_blue,70,112,158
dark_tan,142,102,24
dark_teal,30,70,77
dark_turquoise,44,110,126
dark_violet,69,34,84
dark_yellow,191,167,34
dark_yellow_green,70,90,10
darker_red,188,67,77
darkish_purple,104,34,83
deep_blue,46,37,113
deep_brown,83,54,8
deep_green,13,56,42
deep_lavender,112,86,130
deep_lilac,166,72,200
deep_orange,193,94,52
deep_peach,226,88,92
deep_pink,185,62,117
deep_purple,71,27,82
deep_red,110,26,38
deep_violet,90,34,131
denim_blue,59,73,100
dirty_green,115,136,85
dirty_orange,236,156,56
dirty_pink,165,104,118
dirty_purple,134,78,106
dirty_white,238,226,231
dirty_yellow,167,160,77
dove_grey,125,126,145
duck_egg,118,202,189
duck_egg_blue,137,190,199
duck_egg_green,162,230,188
dull_blue,59,93,139
dull_green,111,137,88
dull_orange,214,145,90
dull_pink,175,102,126
dull_purple,118,102,146
dull_red,176,63,78
dull_yellow,204,183,88
dusk_blue,21,76,112
dusky,152,112,118
dusky_blue,102,126,180
dusky_lilac,123,119,148
dusky_pink,176,111,136
dusky_purple,105,88,138
dusky_rose,161,92,114
dusty_pink,184,128,153
dusty_purple,79,52,64
earth_green,86,86,52
earthy_green,130,140,102
eggshell,218,218,172
electric_blue,46,96,191
electric_pink,243,72,199
emerald,19,120,95
emerald_green,37,184,130
evergreen,66,106,58
faded_orange,214,153,104
fawn,189,162,125
flesh,207,157,157
flesh_pink,224,158,146
fluorescent_pink,250,80,154
forest,10,97,75
forest_green,41,89,52
french_navy,37,33,70
fresh_green,110,211,125
fuchsia,208,47,158
fuchsia_pink,191,38,113
gold,179,144,40
golden_orange,195,137,60
golden_yellow,216,175,26
grape,104,53,108
grass_green,79,136,40
green,82,154,87
green_blue,69,179,156
green_brown,105,100,35
green_grey,82,102,94
green_yellow,178,207,87
greenish_blue,72,169,138
greenish_brown,101,91,39
greenish_grey,108,128,118
greenish_white,212,234,225
greenish_yellow,180,196,81
grey,133,134,139
grey_blue,102,124,149
grey_brown,120,100,92
grey_green,84,121,108
grey_purple,110,92,102
greyish_blue,104,124,151
greyish_green,94,137,108
greyish_purple,109,79,106
gun_metal_blue,96,126,148
gun_metal_grey,84,86,92
hospital_green,50,174,144
hot_pink,222,57,144
ice_blue,170,209,208
indigo,72,46,131
ivory,202,219,217
ivy,102,160,145
jade,66,172,148
jade_green,30,173,123
khaki,104,106,54
khaki_green,115,117,56
kiwi,107,132,60
lavender,145,117,186
lavender_blue,155,172,238
leaf_green,76,134,70
lemon,218,214,83
lemon_yellow,242,234,95
light_aubergine,132,61,84
light_beige,202,188,150
light_blue,108,184,214
light_blue_green,112,229,186
light_blue_grey,164,184,199
light_bright_blue,48,186,244
light_brown,155,111,75
light_burgundy,166,56,88
light_cyan,93,224,235
light_green,126,208,136
light_green_turquoise,75,252,222
light_grey,182,184,192
light_grey_blue,150,174,194
light_khaki,160,151,79
light_leaf_green,173,216,78
light_lilac,203,161,232
light_lime_green,204,221,88
light_magenta,215,134,208
light_maroon,140,62,94
light_mauve,196,144,209
light_olive_green,139,137,43
light_orange,224,154,86
light_pastel_green,146,218,170
light_peach,229,186,154
light_pink,233,160,205
light_purple,164,111,194
light_red,216,84,87
light_rose,219,174,218
light_salmon,240,151,138
light_sky_blue,143,199,233
light_teal,61,198,182
light_terracotta,242,125,146
light_turquoise,96,215,191
light_violet,181,149,211
light_yellow,215,223,124
lighter_purple,186,69,198
lilac,172,131,209
lilac_blue,131,146,206
lime,156,207,82
lime_green,150,216,71
lime_yellow,206,218,85
luminous_green,149,236,84
magenta,179,49,152
magenta_pink,166,58,194
magnolia,238,227,217
marine,59,156,159
marine_blue,28,87,128
maroon,103,31,51
maroon_purple,82,28,56
maroon_red,124,42,72
mauve,143,95,156
medium_blue,68,126,172
medium_brown,100,63,43
medium_green,101,153,73
medium_grey,133,132,123
medium_pink,190,130,165
medium_purple,146,109,156
mid_blue,77,116,177
mid_brown,140,102,64
mid_green,60,159,87
mid_grey,100,100,102
mid_pink,255,101,244
mid_purple,140,62,152
mid_yellow,217,193,60
midnight_blue,26,37,80
mint,125,220,178
mint_green,110,209,165
mocha,184,155,150
moss,111,136,42
moss_green,99,121,57
mossy_green,96,86,22
mud_brown,106,71,40
mud_green,115,119,20
muddy_brown,108,96,78
muddy_green,96,112,57
mulberry,102,66,85
murky_green,148,187,114
mustard,180,149,39
mustard_green,153,147,30
mustard_yellow,195,171,41
navy,30,41,90
navy_blue,29,38,100
neon_green,122,225,81
neon_lilac,134,90,231
neon_pink,218,74,150
neon_purple,180,70,221
nude,221,176,152
nutmeg,150,77,37
ochre,182,137,57
off_white,232,218,224
olive,107,113,47
olive_green,82,90,32
orange,216,123,49
orange_brown,157,100,54
orange_red,212,81,55
orange_yellow,219,139,24
orangey_brown,157,102,50
orangey_pink,217,119,130
orangey_red,215,86,58
orangey_yellow,229,181,70
oxford_blue,53,84,132
pale_apple_green,159,235,127
pale_blue,139,183,206
pale_blue_grey,150,163,181
pale_brown,169,134,116
pale_chocolate,159,130,112
pale_cyan,177,224,221
pale_green,138,205,154
pale_grey,179,172,189
pale_khaki,156,158,114
pale_leaf_green,134,172,121
pale_lemon,236,234,140
pale_lilac,202,178,220
pale_magenta,163,93,163
pale_mauve,174,160,196
pale_mint_green,132,195,187
pale_mustard,212,188,92
pale_orange,234,152,104
pale_peach,243,215,185
pale_pink,223,169,197
pale_purple,159,124,182
pale_red,185,101,102
pale_rose,191,142,168
pale_sage_green,144,176,115
pale_sky_blue,164,191,222
pale_turquoise,108,202,192
pale_violet,180,144,228
pale_viridian,56,211,156
pale_yellow,221,218,121
pastel_blue,129,166,225
pastel_green,138,219,161
