color_name,red,green,blue
anthracite,76,86,91
azur,48,179,172
beige,216,174,152
beige_clair,210,176,170
beige_fonce,177,126,113
blanc,224,223,225
blanc_casse,227,216,214
blanc_creme,231,217,191
blanc_gris,203,207,209
blanc_rose,234,196,209
bleu,66,134,185
bleu_azur,78,225,206
bleu_blanc,150,231,206
bleu_canard,34,107,125
bleu_ciel,87,191,212
bleu_clair,103,200,215
bleu_clair_pale,142,202,193
bleu_cyan,37,178,195
bleu_electrique,64,53,187
bleu_fluo,62,206,222
bleu_fonce,37,57,127
bleu_fuchsia,50,239,214
bleu_gris,106,132,152
bleu_gris_clair,165,193,204
bleu_gris_fonce,26,64,84
bleu_klein,58,59,229
bleu_lagon,0,168,162
bleu_lavande,129,138,207
bleu_marine,28,49,120
bleu_noir,8,29,49
bleu_nuit,30,40,102
bleu_nuit_fonce,6,29,53
bleu_ocean,53,72,188
bleu_pale,138,176,200
bleu_pastel,148,192,221
bleu_petant,65,110,218
bleu_petrole,28,58,100
bleu_roi,50,59,179
bleu_sombre,46,68,78
bleu_tres_clair,159,219,205
bleu_tres_fonce,21,21,73
bleu_turquoise,53,205,196
bleu_verdatre,59,194,178
bleu_vert,59,150,141
bleu_vert_clair,127,224,194
bleu_vert_fonce,30,94,102
bleu_vif,28,78,213
bleu_violet,83,71,187
bordeaux,104,28,48
bordeaux_clair,135,44,72
bordeaux_fonce,68,17,36
brique,160,88,69
brun,124,72,50
brun_clair,164,125,46
brun_fonce,65,44,44
caca_doie,131,122,45
corail,234,124,109
creme,229,213,189
cyan,94,218,205
cyan_fonce,61,163,166
fraise,207,32,96
fuchsia,198,53,173
fuchsia_fonce,165,17,118
grenat,82,28,56
gris,138,141,147
gris_anthracite,73,73,73
gris_blanc,202,217,234
gris_bleu,114,139,164
gris_bleute,147,163,188
gris_clair,192,190,197
gris_fonce,77,81,89
gris_marron,110,92,102
gris_pale,204,182,188
gris_vert,111,131,118
gris_violace,127,118,149
gris_violet,131,120,153
indigo,56,58,147
jaune,222,200,75
jaune_citron,182,189,53
jaune_clair,226,213,123
jaune_flash,211,242,93
jaune_fluo,196,241,78
jaune_fonce,184,150,50
jaune_gris,191,191,147
jaune_lune,223,210,130
jaune_marron,164,138,42
jaune_moutarde,194,159,60
