color_name,red,green,blue
aeroporias,86,94,138
akoua,19,185,173
ammos,208,181,117
anoichto_galazoprasino,126,209,174
anoichto_keramidi,195,93,77
anoichto_kitrino,223,220,124
anoichto_melitzani,104,76,90
anoichto_moustardi,202,190,96
anoichto_petrol,48,163,173
anoichto_sapio_mhlo,144,113,134
anoichto_tirkouaz,102,205,184
anoixth_fouxia,232,56,132
anoixth_ochra,213,184,128
anthraki,59,73,99
apalo_kitrino,230,229,105
apalo_roz,228,170,216
aspro,224,218,219
aspro_gkri,216,216,215
aspro_tou_pagou,192,171,160
augouli,242,195,65
axladi,160,202,78
axnokitrino,247,230,140
bathy_fouxia,167,51,112
bathy_kokkino,122,24,28
bathy_mov,86,26,123
bathy_mple,19,30,95
bathy_prasino,39,86,64
bathy_roz,200,82,100
beraman,87,193,164
beraman_anoichto,108,237,190
beraman_entono,37,152,122
beraman_skouro,52,149,123
berikoki,252,163,116
biole,123,69,160
bioleti,148,70,158
bioleti_anoichto,202,78,170
bioleti_skouro,136,50,132
bromiko_aspro,196,203,209
bromiko_roz,163,104,122
byssini,113,31,62
byssini_anoichto,188,22,66
byssini_skouro,69,14,45
damaskhni,101,27,87
den_kserw,161,124,86
derma,233,168,128
dermati,196,131,134
ekai,157,68,41
ekrou,206,182,144
entonh_fouxia,182,58,148
entono_beraman,0,255,235
entono_galazio,38,171,216
entono_kitrino,238,207,45
entono_mov,89,3,97
entono_mple,68,57,211
entono_portokali,237,123,42
entono_roz,228,75,165
erythro,172,79,76
faio,139,128,131
foux,211,44,154
fouxia,200,50,153
fouxia_anoixth,216,58,207
fouxia_entonh,204,24,139
fouxia_fwsforize,250,53,225
fouxia_mov,193,21,209
fouxia_skouro,145,49,110
fwsforize_fouxia,232,74,132
fwsforize_mov,160,66,190
fwsforize_roz,246,85,150
fwteino_mov,152,43,218
fystiki,147,213,164
fystiki_anoichto,163,232,171
fystiki_skouro,118,142,114
fytri,102,191,171
galano,86,202,224
galazio,97,175,212
galazio_anoichto,138,199,216
galazio_fwteino,89,217,252
galazio_gkri,140,160,184
galazio_mounto,108,156,169
galazio_mov,109,119,231
galazio_skouro,37,131,194
galazogkri,139,155,185
galazoprasino,63,180,167
galazoprasino_anoichto,119,211,196
garidi,201,111,93
gkrena,117,56,78
gkri,133,131,139
gkri_anoichto,183,177,189
gkri_galazio,165,183,191
gkri_kafe,106,96,88
gkri_mov,126,106,128
gkri_mpez,154,150,122
gkri_mple,90,99,133
gkri_petrol,58,79,79
gkri_poly_anoichto,184,188,202
gkri_prasino,54,73,67
gkri_roz,180,139,148
gkri_siel,160,176,202
gkri_skouro,69,68,72
gkri_tou_pagou,156,126,154
gkrimple,106,117,139
gkriroz,156,129,125
