color_id,R,G,B,CAM16_J_UCS,CAM16_a_UCS,CAM16_b_UCS
533,0,0,0,3.36E-22,-4.41E-24,5.40E-40
534,28,28,28,14.08844965,-0.169869429,-0.227413099
535,49,49,49,22.94159382,-0.798846223,-0.184027528
536,72,72,72,32.96903864,-0.520831585,-0.347428862
537,97,97,97,43.69995807,-0.736234079,-0.364714699
538,122,122,122,54.42531823,-0.939070008,-0.42683594
539,148,149,148,64.74057986,-1.037297136,-0.49515992
540,175,175,175,74.50697829,-1.113739673,-0.532035933
541,202,202,201,83.71413104,-1.236228367,-0.570640621
542,229,229,229,92.43874777,-1.323464913,-0.63336774
543,255,255,255,100.0001516,-1.325355118,-0.769640892
544,45,21,25,14.51111774,12.79208611,2.401704777
545,42,24,12,14.3445286,7.105393061,8.723109902
546,33,28,8,14.06459709,-1.49938285,10.64756939
547,22,31,20,13.89676939,-7.152758265,5.220406552
548,16,31,26,13.83684019,-9.554871802,1.045720546
549,10,31,33,13.8172624,-10.09397385,-4.491513142
550,12,30,40,13.88811184,-7.134544487,-9.630375954
551,26,27,43,14.15707765,2.8144778,-11.19351874
552,37,23,40,14.40865124,10.6869886,-7.258019257
553,43,22,33,14.5020959,13.04800465,-2.763478179
554,91,66,63,33.42158845,9.983445581,4.397738746
555,87,68,55,33.2447103,5.39123918,7.929498871
556,77,72,52,32.94669439,-1.621733656,9.562741261
557,64,75,60,32.71386978,-7.821264093,6.402156222
558,57,76,69,32.62418046,-10.79589482,1.451394727
559,53,76,77,32.62111669,-11.06744544,-4.032408946
560,55,75,85,32.72428132,-7.913630531,-9.210790539
561,69,71,88,33.04304101,2.08347517,-10.87490713
562,82,67,83,33.32690237,9.582615614,-6.392399549
563,89,66,72,33.43230479,11.10749823,0.08262298
564,140,117,114,54.77514322,7.44398007,3.713529442
565,138,119,104,54.66878164,4.420508994,7.632374584
566,128,123,98,54.38240145,-1.983220225,10.12541715
567,114,126,106,54.12575445,-8.327207373,7.385959983
568,104,128,118,54.01295697,-11.85194496,1.86660037
569,101,128,127,54.02318367,-11.9656993,-3.477052428
570,106,125,134,54.18267817,-7.870539787,-7.703177039
571,119,122,136,54.46279218,0.958837716,-8.910655168
572,130,119,131,54.67101885,6.773281329,-4.672529387
573,137,118,122,54.76548098,8.04889011,0.44250766
574,192,170,166,74.80407405,6.459797637,3.545636175
575,191,172,154,74.71570818,3.732491008,7.659948725
576,181,176,147,74.44896102,-2.449370912,10.39982584
577,165,180,154,74.19635416,-8.812512685,8.211646968
578,153,181,169,74.07467742,-12.73332845,2.13570104
579,151,181,179,74.10463826,-12.47763316,-2.894165964
580,159,178,185,74.28478278,-7.86196426,-6.825268369
581,172,174,186,74.52760119,0.23736287,-7.602275215
582,182,172,182,74.69837984,5.504351415,-3.827567496
583,188,171,174,74.77544235,6.612531777,0.424843165
584,244,225,221,92.6567141,5.012041467,3.107543891
585,246,226,205,92.60486633,2.944997883,7.977104165
586,235,230,196,92.36795378,-2.990239872,11.16415667
587,219,234,203,92.13118714,-9.286466776,9.239268334
588,204,237,221,92.00304641,-13.69418478,2.441247374
589,203,236,233,92.04959329,-13.06743411,-2.696570958
590,213,232,239,92.24576402,-7.748013942,-6.2793083
591,226,229,239,92.44841566,-0.374914998,-6.734949332
592,235,226,234,92.57614923,4.201285756,-3.284397552
593,241,225,228,92.6339939,5.149920196,0.352061651
594,76,37,46,23.6993739,18.40723034,1.789860423
595,78,37,38,23.67699604,17.54440095,5.56247364
596,77,38,28,23.57976051,14.88516103,9.613530943
597,71,42,17,23.34877714,8.969556634,13.81851132
598,65,46,7,23.10172465,2.723315845,17.0649355
599,57,49,2,22.86446416,-3.198137517,18.5515193
600,47,52,12,22.64273837,-8.576617699,16.12451443
601,34,54,26,22.4568066,-13.29557001,11.21649605
602,21,56,38,22.35206277,-16.15081358,5.616396068
603,13,56,44,22.31640398,-17.10445936,2.099756147
604,3,56,51,22.30001373,-17.44117269,-1.915822059
605,0,56,59,22.31555923,-16.71736906,-6.983852677
